Nombre,Recaudacion,Fecha,Calificacion imdb,Censura,Duracion,Genero,resumen
Star Wars: Episode VII - The Force Awakens,936662225,2015,7.9,PG-13,138 min,"Action, Adventure, Sci-Fi            ","    Three decades after the Empire's defeat, a new threat arises in the militant First Order. Defected stormtrooper Finn and the scavenger Rey are caught up in the Resistance's search for the missing Luke Skywalker."
Avengers: Endgame,858373000,2019,8.5,PG-13,181 min,"Action, Adventure, Drama            ","    After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
Avatar,760507625,2009,7.8,PG-13,162 min,"Action, Adventure, Fantasy            ",    A paraplegic Marine dispatched to the moon Pandora on a unique mission becomes torn between following his orders and protecting the world he feels is his home.
Black Panther,700059566,2018,7.3,PG-13,134 min,"Action, Adventure, Sci-Fi            ","    T'Challa, heir to the hidden but advanced kingdom of Wakanda, must step forward to lead his people into a new future and must confront a challenger from his country's past."
Avengers: Infinity War,678815482,2018,8.5,PG-13,149 min,"Action, Adventure, Sci-Fi            ",    The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.
Titanic,659325379,1997,7.8,PG-13,194 min,"Drama, Romance            ","    A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic."
Jurassic World,652270625,2015,7.0,PG-13,124 min,"Action, Adventure, Sci-Fi            ","    A new theme park, built on the original site of Jurassic Park, creates a genetically modified hybrid dinosaur, the Indominus Rex, which escapes containment and goes on a killing spree."
The Avengers,623279547,2012,8.0,PG-13,143 min,"Action, Adventure, Sci-Fi            ",    Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.
Star Wars: Episode VIII - The Last Jedi,620181382,2017,7.1,PG-13,152 min,"Action, Adventure, Fantasy            ","    Rey develops her newly discovered abilities with the guidance of Luke Skywalker, who is unsettled by the strength of her powers. Meanwhile, the Resistance prepares for battle with the First Order."
Incredibles 2,608581744,2018,7.7,PG,118 min,"Animation, Action, Adventure            ","    The Incredibles hero family takes on a new mission, which involves a change in family roles: Bob Parr (Mr Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world."
The Lion King,540079599,2019,7.0,PG,118 min,"Animation, Adventure, Drama            ","    After the murder of his father, a young lion prince flees his kingdom only to learn the true meaning of responsibility and bravery."
The Dark Knight,534858444,2008,9.0,PG-13,152 min,"Action, Crime, Drama            ","    When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
Rogue One,532177324,2016,7.8,PG-13,133 min,"Action, Adventure, Sci-Fi            ",    The daughter of an Imperial scientist joins the Rebel Alliance in a risky move to steal the Death Star plans.
Beauty and the Beast,504014165,2017,7.2,PG,129 min,"Family, Fantasy, Musical            ","    A selfish prince is cursed to become a monster for the rest of his life, unless he learns to fall in love with a beautiful young woman he keeps prisoner."
Finding Dory,486295561,2016,7.3,PG,97 min,"Animation, Adventure, Comedy            ","    The friendly but forgetful blue tang fish, Dory, begins a search for her long-lost parents, and everyone learns a few things about the real meaning of family along the way."
Star Wars: Episode I - The Phantom Menace,474544677,1999,6.5,PG,136 min,"Action, Adventure, Fantasy            ","    Two Jedi escape a hostile blockade to find allies and come across a young boy who may bring balance to the Force, but the long dormant Sith resurface to claim their old glory."
Avengers: Age of Ultron,459005868,2015,7.3,PG-13,141 min,"Action, Adventure, Sci-Fi            ","    When Tony Stark and Bruce Banner try to jump-start a dormant peacekeeping program called Ultron, things go horribly wrong and it's up to Earth's mightiest heroes to stop the villainous Ultron from enacting his terrible plan."
The Dark Knight Rises,448139099,2012,8.4,PG-13,164 min,"Action, Thriller            ","    Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Catwoman, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane."
Shrek 2,436471036,2004,7.2,PG,93 min,"Animation, Adventure, Comedy            ",    Princess Fiona's parents invite her and Shrek to dinner to celebrate her marriage. If only they knew the newlyweds were both ogres.
E.T. the Extra-Terrestrial,435110554,1982,7.8,PG,115 min,"Family, Sci-Fi            ",    A troubled child summons the courage to help a friendly alien escape Earth and return to his home world.
Toy Story 4,433033071,2019,8.0,G,100 min,"Animation, Adventure, Comedy            ","    When a new toy called ""Forky"" joins Woody and the gang, a road trip alongside old and new friends reveals how big the world can be for a toy."
Captain Marvel,426829839,2019,7.0,PG-13,123 min,"Action, Adventure, Sci-Fi            ",    Carol Danvers becomes one of the universe's most powerful heroes when Earth is caught in the middle of a galactic war between two alien races.
The Hunger Games: Catching Fire,424668047,2013,7.5,PG-13,146 min,"Action, Adventure, Sci-Fi            ",    Katniss Everdeen and Peeta Mellark become targets of the Capitol after their victory in the 74th Hunger Games sparks a rebellion in the Districts of Panem.
Pirates of the Caribbean: Dead Man's Chest,423315812,2006,7.3,PG-13,151 min,"Action, Adventure, Fantasy            ","    Jack Sparrow races to recover the heart of Davy Jones to avoid enslaving his soul to Jones' service, as other friends and foes seek the heart for their own agenda as well."
The Lion King,422783777,1994,8.5,,88 min,"Animation, Adventure, Drama            ","    A Lion cub crown prince is tricked by a treacherous uncle into thinking he caused his father's death and flees into exile in despair, only to learn in adulthood his identity and his responsibilities."
Jurassic World: Fallen Kingdom,417719760,2018,6.2,PG-13,128 min,"Action, Adventure, Sci-Fi            ","    When the island's dormant volcano begins roaring to life, Owen and Claire mount a campaign to rescue the remaining dinosaurs from this extinction-level event."
Toy Story 3,415004880,2010,8.3,,103 min,"Animation, Adventure, Comedy            ","    The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned and to return home."
Wonder Woman,412563408,2017,7.4,PG-13,141 min,"Action, Adventure, Fantasy            ","    When a pilot crashes and tells of conflict in the outside world, Diana, an Amazonian warrior in training, leaves home to fight a war, discovering her full powers and true destiny."
Iron Man Three,409013994,2013,7.2,PG-13,130 min,"Action, Adventure, Sci-Fi            ","    When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution."
Captain America: Civil War,408084349,2016,7.8,PG-13,147 min,"Action, Adventure, Sci-Fi            ",    Political involvement in the Avengers' affairs causes a rift between Captain America and Iron Man.
The Hunger Games,408010692,2012,7.2,PG-13,142 min,"Action, Adventure, Sci-Fi            ",    Katniss Everdeen voluntarily takes her younger sister's place in the Hunger Games: a televised competition in which two teenagers from each of the twelve Districts of Panem are chosen at random to fight to the death.
Jumanji: Welcome to the Jungle,404515480,2017,6.9,PG-13,119 min,"Action, Adventure, Comedy            ","    Four teenagers are sucked into a magical video game, and the only way they can escape is to work together to finish the game."
Spider-Man,403706375,2002,7.3,PG-13,121 min,"Action, Adventure, Sci-Fi            ","    When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family."
Jurassic Park,402453882,1993,8.1,PG-13,127 min,"Action, Adventure, Sci-Fi            ",    A pragmatic Paleontologist visiting an almost complete theme park is tasked with protecting a couple of kids after a power failure causes the park's cloned dinosaurs to run loose.
Transformers: Revenge of the Fallen,402111870,2009,6.0,PG-13,150 min,"Action, Adventure, Sci-Fi            ","    Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war."
Frozen,400738009,2013,7.5,PG,102 min,"Animation, Adventure, Comedy            ","    When the newly-crowned Queen Elsa accidentally uses her power to turn things into ice to curse her home in infinite winter, her sister Anna teams up with a mountain man, his playful reindeer, and a snowman to change the weather condition."
Guardians of the Galaxy Vol. 2,389813101,2017,7.6,PG-13,136 min,"Action, Adventure, Comedy            ","    The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego."
Spider-Man: Far from Home,388534554,2019,7.6,PG-13,129 min,"Action, Adventure, Sci-Fi            ","    Following the events of Avengers: Endgame (2019), Spider-Man must step up to take on new threats in a world that has changed forever."
Harry Potter and the Deathly Hallows: Part 2,381011219,2011,8.1,PG-13,130 min,"Adventure, Drama, Fantasy            ","    Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
Finding Nemo,380843261,2003,8.1,,100 min,"Animation, Adventure, Comedy            ","    After his son is captured in the Great Barrier Reef and taken to Sydney, a timid clownfish sets out on a journey to bring him home."
Star Wars: Episode III - Revenge of the Sith,380262555,2005,7.5,PG-13,140 min,"Action, Adventure, Fantasy            ","    Three years into the Clone Wars, the Jedi rescue Palpatine from Count Dooku. As Obi-Wan pursues a new threat, Anakin acts as a double agent between the Jedi Council and Palpatine and is lured into a sinister plan to rule the galaxy."
The Lord of the Rings: The Return of the King,377845905,2003,8.9,PG-13,201 min,"Adventure, Drama, Fantasy            ",    Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
Spider-Man 2,373585825,2004,7.3,PG-13,127 min,"Action, Adventure, Sci-Fi            ",    Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.
The Passion of the Christ,370782930,2004,7.1,R,127 min,Drama            ,"    Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem."
The Secret Life of Pets,368384330,2016,6.5,PG,87 min,"Animation, Adventure, Comedy            ","    The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes."
Despicable Me 2,368061265,2013,7.4,PG,98 min,"Animation, Adventure, Comedy            ","    When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness."
The Jungle Book,364001123,2016,7.4,PG,106 min,"Adventure, Drama, Family            ","    After a threat from the tiger Shere Khan forces him to flee the jungle, a man-cub named Mowgli embarks on a journey of self discovery with the help of panther Bagheera and free-spirited bear Baloo."
Deadpool,363070709,2016,8.0,R,108 min,"Action, Adventure, Comedy            ","    A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks."
Inside Out,356461711,2015,8.2,PG,95 min,"Animation, Adventure, Comedy            ","    After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school."
Aladdin,354873567,2019,7.1,PG,128 min,"Adventure, Family, Fantasy            ",    A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.
